zipcode,centile,superzip,rank,city,state,adultpop,households,college,income
2233,63.56755,0,5561,Saint Petersburg,FL,18736,6935,26.97%,69.42049
2264,63.55828,0,5562,New Windsor,NY,15015,6088,22.32%,77.41908
2516,63.55261,0,5563,Monson,MA,5648,2212,22.66%,76.8215
2203,63.54767,0,5564,Webster,TX,12378,4636,31.33%,61.87302
2970,63.54282,0,5565,Scott Depot,WV,5283,2330,25.02%,72.7274
2420,63.54093,0,5566,Wilmington,VT,1615,618,31.46%,61.64419
2770,63.5328,0,5567,Lynnwood,WA,27990,11204,24.71%,73.27267
2950,63.51023,0,5568,Antioch,CA,54246,23381,18.13%,84.59518
2277,63.49438,0,5569,Orange Beach,AL,3493,1311,25.54%,71.83693
2067,63.4932,0,5570,Ellison Bay,WI,780,328,32.82%,59.27743
2242,63.48664,0,5571,Arvada,CO,23156,9504,23.58%,75.187
2610,63.47877,0,5572,Bradenton Beach,FL,5518,1861,28.14%,67.32571
2999,63.47183,0,5573,Denver,CO,19763,7545,27.03%,69.24265
2418,63.46548,0,5574,Lebanon,IL,3368,1275,24.76%,73.14453
2581,63.46253,0,5575,Columbus,OH,7384,930,40.59%,45.85884
2612,63.45964,0,5576,Avon,MA,3116,1223,21.18%,79.27325
2266,63.4514,0,5577,West Babylon,NY,26943,10120,16.64%,87.10577
2834,63.44399,0,,Yorktown,VA,43,23,25.58%,71.68394
2022,63.44353,0,5578,Victor,ID,1621,636,29.36%,65.16163
2108,63.44245,0,5579,Fremont,NH,2322,996,18.69%,83.5491
2799,63.43821,0,5580,Sheboygan,WI,13115,5576,23.75%,74.8261
2491,63.42743,0,5581,Florence,SC,26171,10556,29.38%,65.12502
2890,63.41537,0,5582,Olive Branch,MS,17803,8015,20.26%,80.82668
2811,63.41003,0,5583,Spencerville,IN,1628,739,21.13%,79.32425
2944,63.40893,0,5584,Gaines,MI,2358,1013,11.83%,95.34627
2671,63.40804,0,5585,Kindred,ND,896,403,24.89%,72.83724
2668,63.40747,0,5586,Welch,MN,1152,477,16.15%,87.88641
2048,63.40363,0,5587,Auburn,CA,12890,5284,26.69%,69.71469
2704,63.39916,0,5588,Quinton,VA,3367,1466,17.67%,85.25029
2239,63.39246,0,5589,Everett,WA,21015,8420,23.41%,75.36091
2664,63.38664,0,,Yorkville,CA,206,67,21.84%,78.04803
2658,63.38449,0,5590,Milford,PA,7598,3138,24.53%,73.41128
2272,63.37315,0,5591,Conway,AR,33713,14905,30.86%,62.50328
2411,63.35313,0,5592,Chicago,IL,39282,13900,21.98%,77.79305
2061,63.32747,0,5593,Chicago,IL,54180,13607,38.46%,49.38282
2776,63.31213,0,5594,Millville,MA,1712,733,20.44%,80.4344
2815,63.30996,0,5595,Minneapolis,MN,6188,2203,27.89%,67.58984
2207,63.30341,0,5596,Mableton,GA,17714,7191,23.68%,74.83656
2402,63.29595,0,5597,Inglewood,CA,9456,3692,27.05%,69.02821
2523,63.2932,0,5598,Summerville,OR,546,234,23.08%,75.87479
2284,63.29224,0,5599,Loudon,NH,2935,1269,22.15%,77.4753
2432,63.2907,0,5600,Accord,NY,2667,1107,29.10%,65.49245
2277,63.28966,0,5601,Tillson,NY,1124,435,26.87%,69.33026
2402,63.28291,0,5602,Altamonte Springs,FL,23491,8723,29.46%,64.85827
2580,63.27559,0,5603,Port Byron,IL,3142,1377,21.71%,78.22194
2143,63.27409,0,5604,Arlington,VT,2361,955,30.58%,62.92825
2700,63.26873,0,5605,Las Vegas,NV,17141,6978,19.16%,82.60763
2933,63.2634,0,5606,Winona Lake,IN,2311,918,28.95%,65.72913
2623,63.25358,0,5607,Garland,TX,33453,14419,23.63%,74.88625
2810,63.24436,0,,Cornucopia,WI,164,62,35.98%,53.6116
2498,63.24427,0,,Royal,IL,146,62,21.23%,79.00127
2418,63.24331,0,5608,Waikoloa,HI,3373,1324,24.81%,72.79017
2574,63.24231,0,,Warm Springs,MT,259,37,21.62%,78.29255
2303,63.24026,0,5609,North Augusta,SC,7203,3191,23.57%,74.91502
2622,63.23734,0,5610,Orange City,IA,3480,1535,30.14%,63.59251
2715,63.23154,0,5611,Elizabethtown,PA,17585,7152,24.81%,72.77971
2511,63.22485,0,5612,Reading,PA,6813,2687,24.75%,72.88824
2344,63.21885,0,5613,Nazareth,PA,15071,5811,20.57%,80.04604
2034,63.20895,0,5614,Clarksville,TN,20966,8954,27.92%,67.38063
2913,63.20263,0,5615,Adams,TN,2080,921,24.23%,73.72511
2817,63.19935,0,5616,Key Largo,FL,9871,3686,27.36%,68.32602
2821,63.1958,0,5617,Lima,NY,3043,1166,25.21%,72.01607
2114,63.1942,0,5618,Belleville,WI,2788,1204,22.06%,77.43476
2172,63.19006,0,5619,Sarasota,FL,12299,4182,29.13%,65.24401
2674,63.17854,0,5620,Albuquerque,NM,29689,11815,30.17%,63.43298
2077,63.16445,0,5621,Lexington,KY,21627,8676,32.70%,59.07214
2889,63.15329,0,5622,Starkville,MS,19052,8411,37.92%,50.07062
2605,63.14293,0,5623,Aurora,CO,18695,7685,24.29%,73.53158
2408,63.13349,0,5624,Kihei,HI,15674,5373,26.13%,70.35281
2429,63.12886,0,5625,Hickman,NE,1195,564,26.44%,69.81669
2201,63.12544,0,5626,North Arlington,NJ,11252,4154,19.53%,81.70277
2882,63.12129,0,5627,Highlands,NJ,3886,1235,27.77%,67.51008
2992,63.11984,0,5628,Lake Nebagamon,WI,1380,592,25.07%,72.15206
2483,63.11853,0,5629,Bristol,WI,3384,1438,17.05%,85.96555
2770,63.10603,0,5630,Tracy,CA,42196,16625,16.16%,87.49805
2856,63.08988,0,5631,Highland,IN,16617,6716,22.07%,77.287
2098,63.08514,0,5632,Blue River,OR,648,238,27.01%,68.78499
2195,63.08139,0,5633,Las Vegas,NV,12991,5199,20.46%,80.05912
2853,63.0775,0,5634,Slate Hill,NY,1187,495,17.02%,85.9747
2060,63.0736,0,5635,Lahaina,HI,13018,4023,22.42%,76.65936
2244,63.06474,0,5636,Apopka,FL,19272,8300,24.20%,73.59435
2288,63.0568,0,5637,Fleetwood,PA,9650,4059,21.11%,78.91889
2266,63.05409,0,,Plymouth,VT,245,103,36.73%,51.9771
2295,63.05026,0,5638,Englewood,OH,13694,5880,21.38%,78.43246
2329,63.04428,0,5639,Saint Clair,MI,8082,3491,19.08%,82.38926
2242,63.04109,0,5640,Almont,MI,3574,1571,15.00%,89.40715
2742,63.03968,0,5641,Hanalei,HI,1569,509,26.51%,69.55647
2447,63.03923,0,,Lyons,SD,68,32,20.59%,79.7636
2622,63.03155,0,5642,La Crosse,WI,27898,10059,29.16%,64.97465
2056,63.02027,0,5643,Hays,KS,13212,5597,31.82%,60.37582
2062,63.01617,0,5644,Lanesboro,MA,1702,702,27.56%,67.69837
2016,63.00831,0,5645,Sun City West,AZ,26974,10709,29.36%,64.58759
2406,62.99747,0,5646,Romeoville,IL,12531,5389,18.80%,82.76978
2391,62.99237,0,5647,Pawcatuck,CT,6011,2358,24.67%,72.65025
2847,62.98819,0,5648,Mansfield,OH,9247,3999,22.96%,75.6002
2576,62.97456,0,5649,Greensburg,PA,40434,15385,27.62%,67.57154
2750,62.95937,0,5650,Lodi,CA,14865,6165,22.21%,76.8895
2031,62.9505,0,5651,Jacksonville,FL,17455,7606,26.96%,68.69869
2859,62.94567,0,,Fort Spring,WV,109,31,21.10%,78.7829
2257,62.94547,0,5652,Spangle,WA,639,292,24.88%,72.2619
2227,62.945,0,5653,New Haven,VT,1093,461,26.81%,68.93144
2276,62.94404,0,5654,Catlett,VA,2399,1021,21.34%,78.34747
2522,62.93959,0,5655,Dallas,TX,13807,3517,40.78%,44.84414
2736,62.93415,0,5656,Milton,WI,6044,2624,19.80%,80.99536
2943,62.9263,0,5657,Lafayette,LA,22517,8946,30.57%,62.42875
2353,62.91741,0,5658,Bixby,OK,9892,4416,24.67%,72.6058
2258,62.91221,0,5659,Denver,NC,9028,3929,20.43%,79.91005
2003,62.90892,0,5660,Mertztown,PA,2977,1282,19.25%,81.93552
2905,62.90615,0,5661,Marengo,IL,7104,3042,17.88%,84.28659
2557,62.89569,0,5662,Lindenhurst,NY,31021,11905,16.19%,87.15677
2290,62.8867,0,5663,Trinidad,CA,1739,595,37.95%,49.63388
2993,62.88421,0,5664,Saint Petersburg,FL,7301,1829,35.09%,54.54654
2300,62.87612,0,5665,New Orleans,LA,22211,7980,38.49%,48.67672
2988,62.86998,0,,Chicago,IL,121,45,19.83%,80.82929
2009,62.86947,0,5666,Santa Margarita,CA,1768,693,26.87%,68.70522
2732,62.86786,0,5667,Lorena,TX,4116,1907,24.20%,73.30144
2672,62.86605,0,5668,Florissant,CO,2453,986,28.41%,66.0338
2883,62.86441,0,5669,East Windsor,CT,3529,1151,19.24%,81.83876
2885,62.8528,0,5670,Oak Lawn,IL,38772,14587,20.99%,78.81297
2464,62.83811,0,5671,Monroe,WA,14751,5573,19.92%,80.66585
2651,62.83113,0,5672,Hilton,NY,10665,4598,21.59%,77.76035
2088,62.82514,0,5673,Lusby,MD,11153,4846,20.97%,78.82736
2823,62.81936,0,5674,Atco,NJ,9924,3971,16.93%,85.7851
2073,62.81586,0,5675,Chatham,NY,2830,1079,27.99%,66.73075
2433,62.81442,0,5676,Pemberville,OH,2416,991,21.36%,78.15002
2310,62.8108,0,5677,Springville,UT,10763,5353,29.07%,64.85303
2123,62.80415,0,5678,Lubbock,TX,13483,5916,30.96%,61.58665
2749,62.79566,0,5679,Deer Park,TX,17463,7922,16.45%,86.59581
2900,62.78427,0,5680,Bellingham,WA,24025,7923,32.92%,58.20781
2826,62.77765,0,,La Jara,NM,109,50,33.03%,58.02475
2551,62.77747,0,5681,Walterville,OR,540,226,29.44%,64.19139
2324,62.77267,0,5682,Dover,DE,16929,6668,27.55%,67.43947
2174,62.7668,0,5683,Avon,NY,4462,1792,25.39%,71.15697
2510,62.7625,0,5684,Dayton,OH,11210,4552,25.56%,70.87192
2308,62.75728,0,5685,Ripon,CA,7789,3338,19.84%,80.73122
2532,62.75489,0,5686,East Montpelier,VT,964,407,30.08%,63.06424
2544,62.74503,0,5687,Longmont,CO,34905,14278,26.24%,69.67939
2184,62.731,0,5688,Red Oak,TX,16249,7566,20.28%,79.93882
2505,62.72561,0,5689,Nisswa,MN,3395,1418,26.54%,69.15243
2109,62.72462,0,,Kansas City,MO,170,56,24.12%,73.31844
2132,62.72307,0,5690,Georgetown,IN,5476,2456,19.56%,81.1562
2264,62.72094,0,5691,Minoa,NY,2284,998,23.25%,74.79472
2579,62.7176,0,5692,Knightdale,NC,9907,4353,23.38%,74.55543
2350,62.71469,0,5693,Gilmanton Iron Works,NH,656,273,28.51%,65.7069
2808,62.71445,0,,Claremont,VA,216,86,29.17%,64.56275
2621,62.70913,0,5694,Mount Pleasant,MI,19188,7619,30.95%,61.48466
2324,62.69822,0,5695,Lebanon,OH,20542,7310,21.88%,77.11048
2900,62.69248,0,,Embudo,NM,376,132,39.89%,46.06282
2103,62.69168,0,5696,Ashland,MO,2531,1088,27.58%,67.28255
2992,62.68849,0,5697,Saint Cloud,MN,9101,3283,26.83%,68.56532
2780,62.68596,0,,Port Costa,CA,102,44,12.75%,92.8396
2567,62.68565,0,5698,Madison,NH,1081,418,27.01%,68.24103
2085,62.68519,0,5699,Glenville,NC,547,226,29.98%,63.11654
2495,62.68408,0,5700,Strasburg,PA,3508,1542,21.86%,77.08956
2685,62.68296,0,5701,New Harbor,ME,574,205,32.93%,58.02475
2308,62.67937,0,5702,Easthampton,MA,12506,4612,24.84%,71.93761
2458,62.67588,0,,Wheelock,TX,195,68,35.38%,53.75674
2979,62.67501,0,5703,Port Monmouth,NJ,2999,1189,17.14%,85.19798
2653,62.67363,0,5704,Idaho Springs,CO,1988,780,27.46%,67.39893
2842,62.67027,0,5705,Wood Dale,IL,10271,3947,19.27%,81.51709
2923,62.65973,0,5706,Boynton Beach,FL,28103,10549,26.37%,69.2688
2284,62.65202,0,,Tome,NM,40,18,40%,45.766
2228,62.65079,0,5707,Clayton,NJ,4411,1870,18.91%,82.09636
2738,62.64792,0,5708,Farmington,NY,6049,2630,25.66%,70.46133
2347,62.6461,0,5709,Erieville,NY,600,234,28.33%,65.84681
2972,62.64578,0,5710,Coeymans Hollow,NY,562,243,17.62%,84.31274
2616,62.64201,0,5711,Hurricane,WV,13174,5779,26.02%,69.82584
2942,62.63728,0,5712,Minocqua,WI,4053,1600,28.30%,65.88996
2590,62.63136,0,5713,Kansas City,MO,17512,7310,23.49%,74.16969
2167,62.62587,0,5714,Julian,CA,2510,988,27.17%,67.81213
2514,62.62458,0,5715,Manitou Beach,MI,2191,888,17.48%,84.51019
2811,62.6237,0,5716,Lawton,IA,1027,477,22.78%,75.36876
2849,62.62246,0,5717,Broad Brook,CT,3471,1396,21.26%,77.98919
2830,62.61557,0,5718,Middle Village,NY,21622,7798,20.14%,79.92705
2611,62.60212,0,5719,Holland,MI,27418,11237,26.25%,69.39564
2611,62.59062,0,5720,Newberg,OR,14460,6133,23.64%,73.88071
2318,62.5858,0,5721,Bryans Road,MD,3101,1221,19.32%,81.31703
2123,62.58204,0,5722,Puyallup,WA,10621,4606,21.50%,77.5603
2121,62.57603,0,5723,Somerset,MA,11236,4452,20.58%,79.12418
2174,62.56898,0,5724,Oakland,CA,14428,3951,36.62%,51.4789
2414,62.56493,0,,Buckingham,IL,369,166,12.74%,92.62123
2249,62.56482,0,,Felch,MI,28,7,21.43%,77.63875
2692,62.56037,0,5725,Fort Smith,AR,16174,6459,28.00%,66.31101
2613,62.55514,0,5726,North Chili,NY,2896,1203,26.80%,68.38356
2589,62.54724,0,5727,Westfield,MA,25900,10230,24.37%,72.51949
2198,62.53937,0,5728,Somerset,WI,2750,1207,20.51%,79.17649
2930,62.5358,0,5729,Marshall,MI,10245,4260,24.29%,72.63065
2599,62.52731,0,5730,Oak Park,MI,20708,8277,26.97%,68.01089
2456,62.52059,0,5731,Mount Zion,IL,3736,1698,20.10%,79.84206
2792,62.51799,0,5732,Wyoming,MN,5742,2638,17.54%,84.25913
2630,62.51475,0,5733,Weatherford,OK,6058,2803,34.57%,54.91005
2700,62.51181,0,5734,Valencia,PA,4661,1980,25.68%,70.21943
2233,62.51032,0,5735,Van Buren,OH,769,355,20.16%,79.74007
2098,62.50884,0,5736,Flat Rock,NC,4595,1893,29.53%,63.57551
2157,62.50752,0,,Hovland,MN,220,78,25%,71.37273
2448,62.50712,0,5737,Becket,MA,1245,513,24.90%,71.54141
2207,62.50427,0,5738,Lexington,VA,9119,3538,31.51%,60.15483
2369,62.49987,0,5739,Hyattsville,MD,6914,2491,24.88%,71.57279
2377,62.49602,0,5740,Northport,AL,7140,3317,23.40%,74.103
2720,62.49291,0,5741,Bristol,VT,4155,1719,27.92%,66.32147
2318,62.49176,0,,Sanders,MT,31,8,32.26%,58.842
2969,62.49058,0,5742,New Egypt,NJ,4288,1814,18.28%,82.92146
2339,62.4892,0,5743,Brookfield,VT,721,307,29.40%,63.7455
2122,62.48671,0,5744,Middle Island,NY,8359,3202,20.25%,79.50469
2786,62.48396,0,5745,Tuscola,TX,1677,765,23.85%,73.30144
2161,62.47998,0,5746,Portage,MI,12794,4994,25.13%,71.10075
2133,62.47639,0,,Burbank,SD,303,117,26.73%,68.33517
2600,62.47016,0,5747,Neptune,NJ,22409,8354,21.95%,76.58221
2063,62.46371,0,5748,Van Meter,IA,1071,475,23.25%,74.33706
2874,62.46228,0,5749,Granby,MA,4156,1695,22.95%,74.83395
2109,62.45584,0,5750,Reno,NV,19267,6400,27.69%,66.66668
2633,62.44732,0,5751,Bradenton,FL,11794,4280,28.31%,65.59183
2219,62.43964,0,5752,Honolulu,HI,16181,4424,29.87%,62.90733
2510,62.429,0,5753,Houston,TX,22607,9610,21.99%,76.47106
2822,62.42086,0,5754,Luling,LA,7025,3282,20.60%,78.87444
2506,62.41479,0,5755,Reading,PA,15098,5502,24.65%,71.89054
2457,62.40778,0,5756,Fairview Heights,IL,10422,4151,24.81%,71.59371
2555,62.40373,0,5757,Twin Lakes,WI,4342,1780,19.85%,80.12188
2003,62.40249,0,,Westlake,OR,205,67,30.24%,62.21299
2240,62.40139,0,5758,Thorofare,NJ,3768,1468,17.99%,83.32158
2354,62.39012,0,5759,Jamaica,NY,37297,12614,29.30%,63.82919
2960,62.37981,0,,Acworth,NH,264,114,34.09%,55.573
2027,62.37851,0,5760,Imperial,PA,4483,1866,22.98%,74.72018
2429,62.37647,0,5761,Cataula,GA,2955,1371,18.41%,82.58671
2801,62.37523,0,5762,Glenville,PA,1567,718,19.72%,80.32456
2222,62.36887,0,5763,Minneapolis,MN,21593,9335,20.45%,79.05227
2967,62.3629,0,,Webster,ND,158,64,22.15%,76.12063
2584,62.36258,0,5764,Harsens Island,MI,986,379,18.97%,81.59947
2140,62.36212,0,5765,Round Top,TX,703,269,28.45%,65.25447
2812,62.35885,0,5766,Fredericksburg,VA,11211,3942,30.53%,61.65073
2223,62.35576,0,,Sawyerville,IL,27,8,29.63%,63.20023
2448,62.35265,0,5767,Springfield,OH,11336,4935,19.52%,80.60308
2088,62.34929,0,5768,Sperryville,VA,906,340,29.69%,63.06424
2287,62.34692,0,5769,Gainesville,FL,7718,2252,46.46%,34.15059
2327,62.34291,0,5770,Blair,NE,6867,2985,23.36%,73.96178
2328,62.34019,0,5771,Oostburg,WI,3047,1357,20.51%,78.86528
2592,62.33867,0,5772,Lincolnville,ME,2469,1002,30.46%,61.71872
2219,62.33648,0,5773,Topeka,KS,5522,2471,19.20%,81.1222
2693,62.33083,0,5774,Westerly,RI,15041,5741,25.10%,70.93992
2059,62.32046,0,5775,Savannah,GA,22758,9418,27.72%,66.42608
2562,62.31361,0,5776,Chesapeake City,MD,2194,870,20.74%,78.456
2686,62.31127,0,5777,Etters,PA,6338,2722,22.09%,76.12063
2751,62.30224,0,5778,Yukon,OK,26550,12023,24.77%,71.49172
2838,62.29471,0,5779,Poestenkill,NY,909,372,18.04%,83.08752
2641,62.28595,0,5780,Lancaster,CA,30988,11627,19.71%,80.2121
2266,62.27738,0,,Jamestown,NM,254,115,29.53%,63.27869
2054,62.27082,0,5781,New Rochelle,NY,23614,8399,25.41%,70.36719
2070,62.26367,0,5782,Deerfield,WI,2458,1007,20.38%,79.03526
2887,62.26151,0,5783,Berryville,VA,5404,2135,23.00%,74.52143
2480,62.25989,0,5784,Londonderry,VT,535,213,30.65%,61.29375
2959,62.25162,0,5785,Brooklyn,NY,29585,10781,23.88%,72.97062
2011,62.24173,0,5786,White Plains,NY,6412,1877,31.61%,59.63964
2213,62.23979,0,5787,Aquasco,MD,671,279,15.95%,86.6285
2883,62.23854,0,5788,Bluffton,OH,3860,1576,24.33%,72.18344
2882,62.23511,0,5789,Middletown,NY,8676,3514,21.38%,77.25562
2062,62.23214,0,5790,Boston,NY,2125,882,23.20%,74.11869
2032,62.22829,0,5791,Tallmadge,OH,11885,4896,23.63%,73.35898
2370,62.22016,0,5792,Buffalo,NY,17739,6302,26.51%,68.38225
2079,62.21132,0,5793,Pittsburgh,PA,14473,6136,26.57%,68.27372
2626,62.20694,0,5794,Gualala,CA,1482,525,30.23%,61.97109
2511,62.20483,0,5795,Manchester,MD,6203,2602,18.93%,81.44125
2206,62.2013,0,5796,Platteville,WI,6648,2672,30.16%,62.08223
2862,62.19936,0,,Alna,ME,472,192,29.45%,63.20023
2280,62.19915,0,,Burgess,VA,262,121,29.01%,63.94949
2557,62.19857,0,5797,Roland,AR,1861,798,25.85%,69.39172
2513,62.19769,0,5798,Hesperus,CO,1347,551,31.55%,59.55726
2913,62.19727,0,,Radiant,VA,203,72,17.73%,83.3595
2069,62.19541,0,5799,Edgewood,NM,6547,3027,27.07%,67.27733
2911,62.19289,0,5800,Upper Black Eddy,PA,2616,1049,20.68%,78.27817
2207,62.18806,0,5801,Las Vegas,NV,14966,5523,21.92%,76.13371
2318,62.18393,0,,Owanka,SD,78,31,6.41%,102.8545
2110,62.18066,0,5802,North Dartmouth,MA,11880,4655,20.12%,79.23271
2014,62.17728,0,,Bellflower,IL,409,179,17.60%,83.56348
2543,62.17688,0,5803,Webster,MN,1049,461,15.54%,87.11885
2174,62.17495,0,5804,Prince Frederick,MD,6001,2389,16.23%,85.91978
2187,62.17328,0,,Port Penn,DE,79,23,10.13%,96.4355
2320,62.17271,0,5805,Sharpsville,IN,1980,913,15.25%,87.60004
2497,62.17122,0,5806,Lindstrom,MN,3477,1492,20.68%,78.24548
2894,62.17023,0,,Ashby,NE,114,51,27.19%,67.0145
2969,62.16497,0,5807,Colorado Springs,CO,19012,7059,29.54%,62.95179
2279,62.15528,0,5808,Easley,SC,16319,7254,22.89%,74.38544
2974,62.15044,0,5809,Ellicottville,NY,1301,490,28.59%,64.56275
2338,62.14907,0,5810,Bayfield,CO,3733,1547,30.43%,61.39444
2319,62.14794,0,,Nanticoke,MD,369,146,29.54%,62.92825
2315,62.14326,0,5811,Buffalo,NY,16677,5789,31.70%,59.18982
2066,62.13735,0,5812,Tryon,NC,4817,1851,30.50%,61.25452
2005,62.12959,0,5813,Bloomington,IL,23458,8472,28.90%,63.99394
2309,62.11371,0,5814,Hollywood,FL,34443,12227,27.20%,66.90858
2245,62.10412,0,,Dowell,MD,457,117,19.04%,80.98228
2332,62.10336,0,5815,Belden,MS,2332,1077,27.36%,66.63399
2915,62.09607,0,5816,Warner Robins,GA,24257,10653,24.78%,71.0576
2899,62.08923,0,5817,Paradise,UT,602,271,28.74%,64.23585
2296,62.07912,0,5818,San Jose,CA,36242,12861,18.42%,82.00221
2307,62.06764,0,5819,Kenilworth,NJ,5599,2114,15.54%,86.9554
2327,62.06605,0,,Austerlitz,NY,217,80,29.95%,62.111
2779,62.06564,0,5820,Colora,MD,1262,558,14.50%,88.69843
2175,62.05945,0,5821,Fort Myers,FL,21286,7839,28.68%,64.26462
2582,62.04728,0,5822,Traverse City,MI,23053,9313,25.90%,69.04389
2164,62.03811,0,5823,King George,VA,10378,4342,23.41%,73.34198
2142,62.0294,0,5824,Absecon,NJ,21320,8603,23.11%,73.85063
2247,62.02223,0,5825,Altoona,WI,4806,1903,27.24%,66.72813
2556,62.02055,0,5826,Gardiner,MT,1305,472,31.95%,58.59094
2178,62.0193,0,5827,Pine Grove,CA,3242,1382,20.67%,78.03626
2141,62.0184,0,,Voss,TX,53,21,24.53%,71.37273
2882,62.01791,0,5828,Mount Crawford,VA,1730,750,23.70%,72.78101
2596,62.01378,0,5829,Queens Village,NY,13331,5034,20.70%,77.94865
2358,62.00996,0,5830,Machipongo,VA,604,282,30.96%,60.25813
2234,62.00822,0,5831,Folsom,PA,5734,2292,19.46%,80.06435
2695,62.00663,0,,Two Dot,MT,36,15,38.89%,46.58325
2918,62.00027,0,5832,Lawrenceville,GA,23139,9698,22.31%,75.14385
2524,61.99184,0,5833,Murfreesboro,TN,7616,3200,23.52%,73.06215
2382,61.98775,0,5834,Ontario,NY,7264,3095,20.18%,78.80513
2679,61.98064,0,5835,Indiana,PA,18659,6992,30.84%,60.43466
2360,61.97505,0,5836,Elk Rapids,MI,1666,693,29.47%,62.78441
2737,61.97373,0,5837,Abita Springs,LA,3162,1424,26.94%,67.12303
2575,61.96712,0,5838,Clayton,NC,20886,9103,23.10%,73.73295
2785,61.95776,0,5839,Memphis,TN,13229,5946,22.99%,73.88986
2753,61.95338,0,5840,La Fayette,NY,2717,1190,23.70%,72.65679
2068,61.95261,0,,Miami,NM,92,41,29.35%,62.92825
2127,61.95145,0,5841,Cooperstown,NY,4154,1502,32.31%,57.81292
2433,61.94995,0,5842,Colwich,KS,1293,587,23.05%,73.76694
2605,61.94442,0,5843,Rockledge,FL,18867,7654,25.46%,69.6127
2969,61.93292,0,5844,Philadelphia,PA,23036,8792,25.35%,69.78792
2950,61.92417,0,5845,Milan,MI,8836,3087,17.32%,83.60533
2945,61.92168,0,,West Wardsboro,VT,190,73,32.63%,57.2075
2397,61.92162,0,,Williamson,PA,66,32,24.24%,71.64602
2555,61.91925,0,5846,West Hartford,CT,8545,3196,25.00%,70.34234
2765,61.91687,0,,Alder Creek,NY,117,43,29.06%,63.33753
2374,61.91568,0,5847,Oak View,CA,4226,1666,19.07%,80.54816
2261,61.91258,0,5848,Maryville,MO,7051,2693,30.92%,60.1326
2591,61.90026,0,5849,Miami,FL,37835,15501,25.76%,69.01513
2846,61.88423,0,5850,Minneapolis,MN,20570,8126,23.22%,73.3799
2108,61.87476,0,5851,Enumclaw,WA,13930,5724,18.61%,81.32618
2143,61.86421,0,5852,Boise,ID,24513,9904,28.13%,64.91972
2413,61.85704,0,5853,Suquamish,WA,1576,628,27.16%,66.59084
2420,61.85291,0,5854,Sherman,TX,13516,5559,27.29%,66.36724
2006,61.84757,0,5855,Troutville,VA,5908,2459,21.33%,76.6319
2596,61.84465,0,5856,Gadsden,AL,4732,2131,21.13%,76.95357
2697,61.83934,0,5857,Baltimore,MD,14618,5234,26.06%,68.45024
2806,61.83297,0,5858,Plainfield,NJ,8598,3454,22.40%,74.7568
2440,61.82623,0,5859,Salisbury,MD,15936,6540,27.73%,65.56568
2731,61.81939,0,5860,New Smyrna Beach,FL,9013,3260,29.83%,61.93317
2212,61.81688,0,,Zortman,MT,75,24,49.33%,28.33177
2138,61.81136,0,5861,Sacramento,CA,20059,6078,35.22%,52.65444
2167,61.80576,0,,Pine Lake,GA,352,88,37.78%,48.21775
2432,61.80226,0,5862,Plainville,CT,12396,4665,19.83%,79.15295
2189,61.79834,0,5863,Ashaway,RI,1877,805,21.15%,76.8725
2056,61.79077,0,5864,Youngstown,OH,25686,9689,24.93%,70.36327
2411,61.78358,0,5865,Nicolaus,CA,544,207,24.82%,70.55548
2294,61.77874,0,5866,Nacogdoches,TX,17074,7323,31.33%,59.3232
2553,61.77403,0,,Divide,MT,119,55,34.45%,53.9385
2456,61.77174,0,5867,New Baltimore,MI,8208,3764,14.91%,87.6092
2573,61.76885,0,5868,Durham,ME,2298,993,23.98%,71.95461
2887,61.76782,0,5869,Cloudcroft,NM,1445,620,33.36%,55.79137
2452,61.76688,0,5870,Denver,IA,1990,920,24.67%,70.73724
2435,61.76632,0,,Mule Creek,NM,56,19,28.57%,64.01748
2596,61.76272,0,5871,Grass Valley,CA,13026,5377,22.40%,74.64565
2010,61.75901,0,,Charlton Heights,WV,486,208,27.78%,65.38
2041,61.75605,0,5872,Joppa,MD,10278,4246,19.37%,79.86298
2838,61.74862,0,5873,Glendale,AZ,16807,6618,24.17%,71.59241
2089,61.74289,0,5874,Wamego,KS,4093,1831,26.92%,66.81574
2790,61.7409,0,5875,New Gloucester,ME,3150,1355,21.84%,75.57274
2579,61.73704,0,5876,Havre de Grace,MD,10897,4210,22.92%,73.70418
2609,61.73332,0,5877,Pine Island,MN,2668,1147,19.42%,79.74007
2134,61.73192,0,5878,Windham,CT,2396,847,22.62%,74.2063
2314,61.73068,0,5879,Orion,IL,2138,946,20.07%,78.60768
2925,61.72878,0,5880,Jacksonville,OR,4778,1927,28.80%,63.54805
2750,61.72745,0,,Nekoma,KS,56,20,26.79%,67.0145
2627,61.72603,0,5881,Bridgewater,VA,5127,2145,28.16%,64.62159
2656,61.72382,0,5882,Krum,TX,2933,1334,22.06%,75.12946
2060,61.7174,0,5883,Milwaukee,WI,20445,7538,25.73%,68.79938
2380,61.71149,0,5884,Las Vegas,NV,1066,394,21.67%,75.80026
2490,61.71117,0,,Unity,IL,96,42,27.08%,66.46923
2714,61.7111,0,,Wellman,TX,148,68,23.65%,72.38481
2236,61.709,0,5885,Holbrook,MA,7514,2887,18.33%,81.54978
2024,61.70684,0,,Oak City,UT,377,175,23.34%,72.8987
2836,61.70527,0,5886,Salem,WI,5298,2209,16.70%,84.33366
2960,61.69854,0,5887,West Jordan,UT,19200,9278,21.14%,76.69466
